crop_name,model_name,target,R2,MAE,MedAE,RMSE,MAPE,sMAPE
Barley (Rainfed),Extra Trees,recommended_n,0.9889075255258112,0.37719599590515135,2.3305801732931286e-12,1.1117423998796383,0.7008304883724787,0.6945494786306297
Barley (Rainfed),Extra Trees,recommended_p2o5,0.9961755494154367,0.3298634967581446,4.618527782440651e-14,1.2041237159572429,248219773.4044435,4.714257174506618
Barley (Rainfed),Extra Trees,recommended_k2o,0.9944258564320358,0.41428733932462075,0.0,2.4096331998644005,488920489.166547,4.030761224988446
Barley (Rainfed),Extra Trees,OVERALL,0.9931696437910945,0.3737822773293056,7.922551503725117e-13,1.5751664385670938,245713421.09060702,3.146522626041898
Barley (Rainfed),LightGBM,recommended_n,0.09722430096274115,7.349851400788285,5.069622406368765,10.02951380067025,13.337810201327436,12.788841272031265
Barley (Rainfed),LightGBM,recommended_p2o5,0.09744759623906218,15.557665799976423,16.812372413554126,18.497915740669477,62499272194.409874,95.43970730747205
Barley (Rainfed),LightGBM,recommended_k2o,0.0974324331847819,19.42517714141648,12.116579924466034,30.662087936312446,95598451116.13565,179.26265951049444
Barley (Rainfed),LightGBM,OVERALL,0.09736811012886175,14.110898114060396,11.332858248129641,19.72983915921739,52699241107.96111,95.83040269666593
Barley (Rainfed),CatBoost,recommended_n,0.09402633937916571,7.367779104096655,5.136611162672693,10.047262199087816,13.375420544544758,12.81953208709941
Barley (Rainfed),CatBoost,recommended_p2o5,0.09389960936058295,15.579614148006058,16.678076221578305,18.534238279565507,62755941740.08385,95.42097454583259
Barley (Rainfed),CatBoost,recommended_k2o,0.09584612051428221,19.4576252428755,12.14970255284595,30.689021269294575,95811380259.09903,179.31683864807187
Barley (Rainfed),CatBoost,OVERALL,0.09459068975134362,14.135006164992738,11.32146331236565,19.7568405826493,52855774004.1861,95.85244842700128
Barley (Rainfed),Random Forest,recommended_n,0.9919063929744859,0.29995563644649914,4.902744876744691e-13,0.9496443903936463,0.5671186580573179,0.5503470072130816
Barley (Rainfed),Random Forest,recommended_p2o5,0.9981090136336674,0.2743783414856777,9.947598300641403e-14,0.8467023830673802,150255946.13743827,4.249287049743249
Barley (Rainfed),Random Forest,recommended_k2o,0.9990780711924627,0.2414765100672018,0.0,0.979964979792563,118029805.39906707,3.69954047496837
Barley (Rainfed),Random Forest,OVERALL,0.9963644926002054,0.2719368293331262,1.9658349022696106e-13,0.9254372510845298,89428584.03454132,2.8330581773082333
Barley (Rainfed),XGBoost,recommended_n,0.09712514652587112,7.350115148140539,5.061691741943356,10.030064570639553,13.339073400680999,12.789222004711082
Barley (Rainfed),XGBoost,recommended_p2o5,0.09741331280049137,15.558278741047875,16.80510139465332,18.49826705884956,62499566121.74795,95.44209265870343
